LONGITUDE_DECIMAL,LATITUDE_DECIMAL,OBJECTID,ID,MJESTO,LOKACIJA,ID_NADR,RANG,TIP_KOMUTA,IME,SMB,TIPSMB,LISTA,URL,N2,DIREKCIJA,OPCINA,ID_OPCINA,IME_OPCINA,MJESEC_PUS,GOD_PUSTANJA,ID_ERC,VERZIJA,TIP_PROCES,TEHNICKI_P,KLASA_TACNOSTI,NAPOMENA,SAP_TPLNR,POINT_X,POINT_Y,LONGITUDE,LATITUDE,GIS_ID,NAZIV_CENTRALE,FUNKCIJSKA_LOKACIJA,SAP_BIHNET,NAZIV_RAZDJELNIKA,NAZIV_LOKACIJE,NAZIV_UREDJAJA,NAZIV_CVORA,FIZ_NAZIV_UREDJAJA_EM,RUTER,NAZIV_RUTERA,IP_ADRESA,OPIS,POTS,ISDNBA,ISDNPRA,INST_USKP,V52,POTSUK,WLLUK,CLLUK,ISDNBAUK,ISDNPRAUK,ISKOR_USKP,XDSL,ADSL_POTS,ADSL_ISDN,ADSL2PLUS_POTS,ADS2PLUS_ISDN,ADSL2_POTS,ADSL2_ISDN,SHDSL,VSDL2,GPON_VIRTPORT,GPON_SPLITT,FTTH,INSTALIRANO_UKUPNO,ADSL,IPTV,VOIP,VOIP_GEOGRAFSKI,IPCENT,ADSL_PORT,SHDSL_PORT,FTTHPTP_PORT,GPONSPLITT_PORT,VDSL2_PORT,UKLJUCENO_UKUPNO,SE_ANNO_CAD_DATA
17.35148167,44.18525639,27236.0,5175,SANDjACKI POTOK,SNZP,,,MSAN,"5175-SNZP, MSAN",13,,"SANDjACKI POTOK-5175, MSAN",,1,Travnik,j4,10294,Donji Vakuf,4,2013,,,,,, ,03000095,6448158.345,4893626.968,"E17° 21' 5,334""","N44° 11' 6,923""",5175,MSAN SAN.POTOK,TR-PRI-SNZP-M5175,03091,FTTE/CO,SANDŽAČKI POTOK,,,SandzackiPotok,91,SANDŽAČKI POTOK O1R1,10 11 215 13,HIX5622/R3.8MH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,72.0,33.0,28.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,
18.68441028,44.53264917,27240.0,4513,Kula 2,,,KC,DSLAM,"4513-, DSLAM",14,,"Kula 2-4513, DSLAM",,1,Tuzla,t13,11089,Tuzla,4,2013,289,,,,, ,035289,6554388.4691,4932244.2075,"E18° 41' 3,877""","N44° 31' 57,537""",4513,KULA MSAN ADTRAN,TU-PRI-KULA-D4513,035289,FTTE/CO,TUZLA,FTTE/CO,NSN KULA,Kula_2-DSLAM,289,NSN KULA,10 11 68 17,NSN HIX5630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,201.0,157.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,
18.35716611,43.90136528,27243.0,1381,Rosulje,ROSU,,,MSAN,"1381-ROSU, MSAN",13,,"Rosulje-1381, MSAN",,1,Sarajevo,,10928,Vogošaa,3,2013,,,,,, ,0331381,6528688.0158,4861947.0965,"E18° 21' 25,798""","N43° 54' 4,915""",1381,1381 ROSULJE-MSAN-ROSU-SSBČ,SA-PRI-ROSU-M1381,0331381,FTTC,ROSULJE,,,Rosulje,1381,MSAN ROSULJE,10 11 211 9,HIX 3635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,456.0,328.0,287.0,0.0,58.0,5.0,0.0,0.0,0.0,0.0,358.0,358.0,
18.92114806,44.46355694,27249.0,4517,Jajici,,,KC,MSAN,"4517-, MSAN",13,,"Jajici-4517, MSAN",,1,Tuzla,t7,10456,Kalesija,4,2013,311,,,,, ,035235,6573288.0,4924753.0,"E18° 55' 16,133""","N44° 27' 48,805""",4517,JAJIĆI MSAN ADTRAN,TU-PRI-JJCI-M4517,035311,FTTE/CO,KALESIJA,,,Jajici,311,NSN JAJICI,10 11 212 8,NSN HIX5625 MSAN,72.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,29.0,30.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,
17.97608722,43.63026667,27560.0,6173,Polje bijela 2,PBI,,,DSLAM,"6173-PBI, DSLAM",14,,"Polje bijela 2-6173, DSLAM",,1,Mostar,m2,10529,Konjic,4,2013,,,,,, ,036155,6498070.5971,4831770.5671,"E17° 58' 33,914""","N43° 37' 48,960""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.82527833,43.326345,27561.0,6176,Tekija 1,MTE,,,DSLAM,"6176-MTE, DSLAM",14,,"Tekija 1-6176, DSLAM",,1,Mostar,m3,11380,Grad Mostar,4,2013,,,,,, ,036159,6485831.7949,4798025.8918,"E17° 49' 31,002""","N43° 19' 34,842""",6176,,MO-PRI-TEKJ-D6176,036159,FTTE/CO,TEKIJA,,,TEKIJA_1,159,TEKIJA1 ISAM,10 11 20 12,TEKIJA1 ISAM 7330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,480.0,203.0,150.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,221.0,221.0,
17.81807778,43.34335028,27562.0,6175,Iskra 1,MOS,,,DSLAM,"6175-MOS, DSLAM",14,,"Iskra 1-6175, DSLAM",,1,Mostar,m3,11380,Grad Mostar,4,2013,,,,,, ,036158,6485251.9985,4799916.0139,"E17° 49' 5,080""","N43° 20' 36,061""",6175,,MO-PRI-MOST-D6175,036158,FTTE/CO,MOSTAR-ISKRA,,,ISKRA_1,158,ISKRA1 ISAM,10 11 20 11,ISKRA1 7330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,504.0,260.0,188.0,0.0,53.0,5.0,0.0,0.0,0.0,0.0,290.0,290.0,
17.81807778,43.34335028,27563.0,6177,CTK Mostar Iskra,MOS,,,MSAN,"6177-MOS, MSAN",13,,"CTK Mostar Iskra-6177, MSAN",,1,Mostar,m3,11380,Grad Mostar,4,2013,,,,,, ,036110,6485251.9985,4799916.0139,"E17° 49' 5,080""","N43° 20' 36,061""",6177,MSAN CTK MOSTAR-ISKRA,MO-PRI-MOST-M6177,036160,FTTH,MOSTAR-ISKRA,,,CTK_Mostar,160,MSAN CTK MOSTAR,10 100 62 15,MILEGATE KEYMILE 2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,16.0,48.0,6.0,7.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,
18.10074139,43.79572722,27566.0,1388,Tarcin 3,TARC,,,DSLAM,"1388-TARC, DSLAM",14,,"Tarcin 3-1388, DSLAM",,1,Sarajevo,,10847,Hadžiai,4,2013,,,,,, ,033482,6508105.956,4850155.123,"E18° 6' 2,669""","N43° 47' 44,618""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.276465,44.33920333,27885.0,5177,Jajce,JAJC,,,MSAN,"5177-JAJC, MSAN",13,,"Jajce-5177, MSAN",,1,Travnik,j9,10430,Jajce,5,2013,,,,,, ,03000096,6442312.351,4910779.629,"E17° 16' 35,274""","N44° 20' 21,132""",5177,MSAN JAJCE,TR-PRI-JAJC-M5177,03093,FTTE/CO,JAJCE,,,TelecomCentarJajce,93,JAJCE ORM1RAM1,   ,HIX5622/R3.8MH,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,
